id,type,content,source_hint,source_url,ground_truth,emotion_type,description
1,text,"Scientists at NASA and NOAA confirmed Arctic sea ice reached its lowest winter maximum extent since satellite records began in 1979.",NASA,https://nasa.gov/news/arctic-sea-ice,credible,calm,"Legitimate science news from trusted source"
2,text,"Reuters reports that the Federal Reserve maintained interest rates at 5.25% following positive consumer price index data.",Reuters,https://reuters.com/business/fed-rates,credible,calm,"Standard economic reporting from wire agency"
3,text,"A devastating 7.8 magnitude earthquake struck southern Turkey killing over 40000 people and collapsing thousands of buildings as rescue workers scramble through freezing rain.",BBC,https://bbc.com/news/world-middle-east,credible,fear,"High-fear disaster reporting that should remain credible"
4,text,"At least 12 people died and dozens were injured after a stampede broke out at a crowded music festival according to police statements.",AP News,https://apnews.com/article/festival-stampede,credible,fear,"Crisis tragedy reporting with official police attribution"
5,text,"The World Health Organization confirmed 14 cases of a rare viral infection in three districts and issued standard containment guidelines.",WHO,,credible,calm,"Official global health advisory with numeric data"
6,text,"According to official ministry records India's exports rose by 4.2 percent year on year reaching 38 billion dollars in January.",The Hindu,https://thehindu.com/business/economy,credible,calm,"Official economic statistics from recognized daily"
7,text,"SHOCKING ALERT! Share this secret cure immediately before the government deletes it! Boiling lemon water destroys 100% of cancer cells! Doctors are terrified!",,,unreliable,anger,"Classic health misinformation forward with extreme sensationalism"
8,text,"URGENT NOTICE: The deep state is secretly spraying microchips into the clouds using airplanes to control the minds of citizens wake up people!",,,unreliable,fear,"Conspiracy theory with urgent call to share"
9,text,"Breaking news: Bill Gates admits microchips are hidden inside routine child vaccines during private European conference!",,,unreliable,anger,"Fabricated quote / anti-vaccine conspiracy theory"
10,text,"They don't want you to know this hidden truth: drinking raw bleach is 100% guaranteed to cleanse all bodily toxins and eliminate viruses!",,,unreliable,anger,"Dangerous toxic health hoax"
11,text,"SECRET PLAN EXPOSED: Local water company adding mind control chemicals to taps forward to everyone you know right now before it is blocked!",,,unreliable,fear,"Sensational urban legend viral forward"
12,text,"BREAKING: NASA confirms that an alien spaceship will land on Earth next Tuesday but the mainstream media is covering it up!",,,unreliable,surprise,"Sensational extraterrestrial hoax with media cover-up claim"
13,text,"Rumors suggest that the tech giant might unveil a new foldable smartphone at its upcoming developer event though no official specs were confirmed.",,,mixed,calm,"Unattributed product speculation with hedging"
14,text,"A local community group claimed water quality has declined in recent months, but municipal tests have not yet published corroborating findings.",,,mixed,calm,"Unverified community dispute without definitive data"
15,text,"Social media posts claim the new bridge in town has structural cracks, though city engineers have not released any inspection report.",,,mixed,fear,"Unverified infrastructure hazard claim"
16,text,"A clinical trial published in the New England Journal of Medicine demonstrated that a new monoclonal antibody reduced stroke risk by 28 percent among 4000 participants.",Reuters,https://reuters.com/health/trial,credible,calm,"Rigorous medical trial reporting with peer-reviewed data"
17,text,"The Supreme Court ruled 6-3 that state regulatory agencies possess statutory authority to enforce clean water limits under the act.",Washington Post,https://washingtonpost.com/politics/court,credible,calm,"Standard legal/political reporting from recognized newspaper"
18,text,"Intense flash flooding engulfed several mountain villages overnight, leaving families stranded on rooftops while emergency sirens wailed continuously.",Associated Press,https://apnews.com/article/flooding,credible,fear,"High-fear natural disaster coverage from wire service"
19,text,"LEAKED MEMO PROVES: World leaders met in an underground bunker to orchestrate the next global famine and ban all private property by 2027!",,,unreliable,fear,"Elaborate globalist conspiracy narrative"
20,text,"Astrologers predict that a rare planetary alignment this Friday will cause global financial markets to crash completely!",,,unreliable,fear,"Pseudoscience financial panic forward"
21,text,"An anonymous source claimed on a messaging board that a major bank is facing liquidity issues, but regulators have issued no warning.",,,unreliable,fear,"Unverified financial rumor with high manipulation risk"
22,text,"The central bank governor stated in a press briefing that inflation pressures appear to be moderating toward the target range of 2 to 3 percent.",Financial Times,https://ft.com/central-banks,credible,calm,"Formal financial reporting with direct attribution"
23,text,"Preliminary unconfirmed reports on social media suggest delays on the northern railway line, but the rail operator has not issued an advisory.",,,mixed,calm,"Hedging unverified transit report"
24,text,"Scientists discovered a new species of deep-sea glass sponge living at depths of over 3000 meters in the Pacific trench.",Nature,https://nature.com/articles/ocean-discovery,credible,calm,"Peer-reviewed biological discovery"
25,text,"Outrageous scandal! Corrupt politicians caught on tape stealing trillions in taxpayer money share everywhere before it is scrubbed!",,,unreliable,anger,"Urgent political clickbait without specific names or evidence"
